code,flightnum,depicao,arricao,route,aircraft,flightlevel,distance,deptime,arrtime,flighttime,notes,price,flighttype,daysofweek,enabled
CSN,465 (1B),EDDF,EGSS,,B-2081,32000,,9:00,10:20,1:20,,94,C,15,1
CSN,465 (2A),ZGGG,EDDF,,B-2028,38000,,18:00,6:05,12:05,,685,C,1,1
CSN,465 (3A),ZGGG,EDDF,,B-2028,38000,,3:10,14:59,11:49,,685,C,2,1
CSN,466 (1A),EDDF,EGSS,,B-2042,32000,,8:30,9:43,1:13,,94,C,2,1
CSN,466 (1B),EGSS,ZGGG,,B-2071,37000,,12:45,0:15,11:30,,713,C,26,1
CSN,466 (2A),EDDF,EGSS,,B-2042,32000,,7:30,8:42,1:12,,94,C,1,1
CSN,466 (2B),EGSS,ZGGG,,B-2071,37000,,12:45,0:11,11:26,,713,C,1,1
CSN,467 (1),ZGGG,EDDF,,B-2042,38000,,17:00,5:00,12:00,,685,C,2,1
CSN,467 (2),ZGGG,EDDF,,B-2042,38000,,23:25,11:25,12:00,,685,C,6,1
CSN,467 (3),ZGGG,EDDF,,B-2042,38000,,19:55,7:40,11:45,,685,C,0,1
CSN,468 (1),EDDF,ZGGG,,B-2026,37000,,8:15,19:05,10:50,,685,C,4,1
CSN,468 (2),EDDF,ZGGG,,B-2026,37000,,14:00,0:15,10:15,,685,C,1,1
CSN,468 (3),EDDF,ZGGG,,B-2026,37000,,15:50,2:54,11:04,,685,C,3,1
CSN,468 (4),EDDF,ZGGG,,B-2026,37000,,17:50,4:23,10:33,,685,C,0,1
CSN,469 (1),ZGGG,EDDF,,B-2026,38000,,23:45,11:40,11:55,,685,C,3,1
CSN,469 (2),ZGGG,EDDF,,B-2026,38000,,17:00,5:00,12:00,,685,C,5,1
CSN,469 (3),ZGGG,EDDF,,B-2026,38000,,21:45,10:00,12:15,,685,C,4,1
CSN,469 (4),ZGGG,EDDF,,B-2026,38000,,17:00,5:37,12:37,,685,C,6,1
CSN,470 (1),EDDF,ZGGG,,B-2026,37000,,8:00,18:45,10:45,,685,C,0,1
CSN,470 (2),EDDF,ZGGG,,B-2026,37000,,14:20,23:40,9:20,,685,C,5,1
CSN,470 (3),EDDF,ZGGG,,B-2026,37000,,19:45,7:01,11:16,,685,C,4,1
CSN,470 (4),EDDF,ZGGG,,B-2026,37000,,8:00,18:43,10:43,,685,C,6,1
CSN,471 (1A),PANC,KLAX,,B-2010,37000,,9:50,14:40,4:50,,315,C,15,1
CSN,471 (1B),ZGGG,PANC,,B-2010,38000,,21:55,8:25,10:30,,619,C,0,1
CSN,471 (2A),PANC,KLAX,,B-2010,37000,,3:00,7:50,4:50,,315,C,4,1
CSN,471 (2B),ZGGG,PANC,,B-2010,38000,,15:30,2:00,10:30,,619,C,3,1
CSN,471 (3A),ZGGG,PANC,,B-2010,38000,,17:00,3:30,10:30,,619,C,2,1
CSN,471 (3B),PANC,KLAX,,B-2010,37000,,3:30,8:35,5:05,,315,C,2,1
CSN,471 (4A),ZGGG,PANC,,B-2010,38000,,23:50,10:20,10:30,,619,C,4,1
CSN,471 (4B),PANC,KLAX,,B-2010,37000,,1:30,6:35,5:05,,315,C,6,1
