Dep,Arr,Route
ZBAA,ZUJZ,BOTPU W47 LOVRA W540 DOVOP H138 ONEBA G212 IGLEX W242 GYN H92 PAVMO
ZBAA,ZUKJ,BOTPU W47 LOVRA W540 DOVOP H138 ANRUG H139 DUBID W30 DS W180 LIDMA W182 UBDID J122 KHP
ZBAA,ZULS,BOTPU W47 LOVRA W540 DOVOP H138 ONEBA G212 JTG W236 CTU B213 LXA
ZBAA,ZULS,BOTPU W47 IDSOT W48 MAKIP H53 MULOB W220 NIRUV B215 JTA W198 PANRA H60 XNN Z1 YUS Z3 TAPUN W500 LXA
ZBAA,ZULZ,BOTPU W47 LOVRA W540 DOVOP H138 ONEBA G212 UBKER B330 IGUNI
ZBAA,ZUMT,BOTPU W47 LOVRA W540 DOVOP H138 ANRUG H139 DUBID W30 DS W180 BONSA W91 APUKI
ZBAA,ZUMY,BOTPU W47 LOVRA W540 DOVOP H138 ONEBA G212 SUBUL W230 AKDIK
ZBAA,ZUNC,BOTPU W47 LOVRA W540 DOVOP H138 ANRUG H139 DUBID W30 P61 H37 GAO
ZBAA,ZUNZ,BOTPU W47 LOVRA W540 DOVOP H138 ONEBA G212 JTG W236 CTU B213 KADSA W16 ELNUN J554 GMM
ZBAA,ZUPS,BOTPU W47 LOVRA W540 DOVOP H138 ANRUG H139 DUBID W30 DS W180 MEMAG A581 LPS
ZBAA,ZUQJ,RUSDO W45 RUXIL W53 YIH W241 ATSUD W80 SUDPI
ZBAA,ZUTF,BOTPU W47 LOVRA W540 DOVOP H138 ONEBA G212 BUPMI
ZBAA,ZUTR,RUSDO W45 LIN A581 HUY W183 TRN
ZBAA,ZUUU,BOTPU W47 LOVRA W540 DOVOP H138 ONEBA G212 SUBUL W230 AKDIK
ZBAA,ZUWX,BOTPU W47 LOVRA W540 DOVOP H138 ANRUG H139 DUBID W30 SANUK H44 DJY J511 ANBEP
ZBAA,ZUXC,BOTPU W47 LOVRA W540 DOVOP H138 ONEBA G212 BOPTU W162 SB
ZBAA,ZUYB,BOTPU W47 LOVRA W540 DOVOP H138 ONEBA G212 UBKER B330 IGUNI
ZBAA,ZWHZ,IDKEX B339 ASILA A575 UPREK W28 ATBUG W66 NUKTI B215 FKG A368 P221 J169 DJS
ZBAA,ZWKM,IDKEX B339 ASILA A575 UPREK W28 ATBUG W66 NUKTI B215 FKG A368 P221 H73 KLM
ZBAA,ZWTL,IDKEX B339 ASILA A575 UPREK W28 ATBUG W66 NUKTI B215 HAM W99 QTV J93 PTG
ZBAA,ZWWW,IDKEX B339 ASILA A575 UPREK W28 ATBUG W66 NUKTI B215 HAM W99 FKG B215 WUR
ZBAA,ZWYN,IDKEX B339 ASILA A575 UPREK W28 ATBUG W66 NUKTI B215 FKG A368 P221 H73 KLM H69 P165 H70 YNN
ZBAA,ZYBS,DOTRA B334 TGO G341 IDVOT J755 CBS
ZBAA,ZYCC,DOTRA B334 TGO G341 BUTET
ZBAA,ZYCY,DOTRA B334 KAKAT W31 CHG
ZBAA,ZYDD,DOTRA B334 KAKAT W31 CHG A575 BIDIB A345 DDG
ZBAA,ZYDQ,DOTRA B334 TGO H6 P105 J68 SRT
